,anime_name,anime_genre,character_name,character_mbti_type,character_enneagram_type
0,Naruto Shippūden,Shounen,Sasuke Uchiha,ISFP,3w4
1,Naruto Shippūden,Shounen,Naruto Uzumaki,ENFP,3w2
2,Naruto Shippūden,Shounen,Madara Uchiha,ENTJ,8w9
3,Naruto Shippūden,Shounen,Itachi Uchiha,INFJ,1w9
4,Naruto Shippūden,Shounen,Sakura Haruno,ESFJ,2w1
5,Naruto Shippūden,Shounen,Obito Uchiha,ENFP,4w3
6,Naruto Shippūden,Shounen,Kakashi Hatake,INTP,6w5
7,Naruto Shippūden,Shounen,Shikamaru Nara,INTP,9w8
8,Naruto Shippūden,Shounen,Rock Lee,ESFJ,3w2
9,Naruto Shippūden,Shounen,Nagato,INFP,9w1
10,Naruto Shippūden,Shounen,Hinata Hyūga,ISFJ,9w1
11,Naruto Shippūden,Shounen,Konan,INFJ,1w9
12,Naruto Shippūden,Shounen,Orochimaru,ENTP,5w4
13,Naruto Shippūden,Shounen,Temari,ESTJ,8w9
14,Naruto Shippūden,Shounen,Gaara,INFP,4w5
15,Naruto Shippūden,Shounen,Sasori,INTJ,1w9
16,Naruto Shippūden,Shounen,Kimimaro Kaguya,ISFJ,4w5
17,Naruto Shippūden,Shounen,Minato Namikaze,ENFJ,1w2
18,Naruto Shippūden,Shounen,Neji Hyūga,ISTJ,1w9
19,Naruto Shippūden,Shounen,Hashirama Senju,ENFJ,7w6
20,Naruto Shippūden,Shounen,Tobirama Senju,ISTJ,6w5
21,Naruto Shippūden,Shounen,Kabuto Yakushi,INTP,5w4
22,Naruto Shippūden,Shounen,Deidara,ESFP,4w3
23,Naruto Shippūden,Shounen,Kurenai Yūhi,ISFJ,4w5
24,Naruto Shippūden,Shounen,Sai Yamanaka,INTP,5w6
25,Naruto Shippūden,Shounen,Ino Yamanaka,ESFP,3w2
26,Naruto Shippūden,Shounen,Rin Nohara,ISFJ,2w1
27,Naruto Shippūden,Shounen,Hinata Hyuga (Road to Ninja),ENTJ,8w9
28,Naruto Shippūden,Shounen,Tsunade Senju,ESTP,8w7
29,Naruto Shippūden,Shounen,Haku,ISFJ,9w1
30,Naruto Shippūden,Shounen,Hiruzen Sarutobi,ENFJ,9w1
31,Naruto Shippūden,Shounen,Jiraiya,ENFP,7w6
32,Naruto Shippūden,Shounen,Yahiko,ENFJ,1w2
33,Naruto Shippūden,Shounen,Hidan,ESTP,7w8
34,Naruto Shippūden,Shounen,Danzō Shimura,ESTJ,1w9
35,Naruto Shippūden,Shounen,Kisame Hoshigaki,ESTP,8w7
36,Naruto Shippūden,Shounen,Might Guy,ESFP,3w2
37,Naruto Shippūden,Shounen,Kushina Uzumaki,ESFP,7w8
38,Naruto Shippūden,Shounen,Killer Bee,ESFP,7w8
39,Naruto Shippūden,Shounen,Kakuzu,ISTJ,6w5
40,Naruto Shippūden,Shounen,Yamato,ISTJ,6w5
41,Naruto Shippūden,Shounen,Juubi,ESTP,8w9
42,Naruto Shippūden,Shounen,Samehada,ENTP,3w4
43,Naruto Shippūden,Shounen,Tenten,ENFJ,2w3
44,Naruto Shippūden,Shounen,Tobi,ENTP,7w6
45,Naruto Shippūden,Shounen,Shisui Uchiha,ENFJ,1w2
46,Naruto Shippūden,Shounen,Indra Ōtsutsuki,INTJ,8w9
47,Naruto Shippūden,Shounen,Kiba Inuzuka,ESTP,8w7
48,Naruto Shippūden,Shounen,Zabuza Momochi,ISTP,8w9
49,Naruto Shippūden,Shounen,Shino Aburame,ISTJ,5w6
50,Naruto Shippūden,Shounen,Iruka Umino,ESFJ,2w1
51,Naruto Shippūden,Shounen,Suigetsu Hōzuki,ESTP,7w8
52,Naruto Shippūden,Shounen,Uchiha Clan,INTJ,6w5
53,Naruto Shippūden,Shounen,Anko Mitarashi,ESTP,7w8
54,Naruto Shippūden,Shounen,Kinkaku,INTP,7w8
55,Naruto Shippūden,Shounen,Chōji Akimichi,ISFP,9w8
56,Naruto Shippūden,Shounen,Kurama,ENTJ,8w9
57,Naruto Shippūden,Shounen,Kaguya Ōtsutsuki,ISTJ,1w9
58,Naruto Shippūden,Shounen,Sakumo Hatake,INFP,6w5
59,Naruto Shippūden,Shounen,Jūgo,ISFP,9w8
60,Naruto Shippūden,Shounen,Hagoromo Ōtsutsuki,INFJ,5w6
61,Naruto Shippūden,Shounen,Hanabi Hyūga,ISTJ,1w2
62,Naruto Shippūden,Shounen,Chidori,INTJ,8w9
63,Naruto Shippūden,Shounen,Menma,ISFJ,2w1
64,Naruto Shippūden,Shounen,Chiyo,ENFJ,1w2
65,Naruto Shippūden,Shounen,Hanare,INFJ,1w9
66,Naruto Shippūden,Shounen,Akatsuki,INTJ,8w9
67,Naruto Shippūden,Shounen,Mu,INTP,5w6
68,Naruto Shippūden,Shounen,Dark Naruto,ISTJ,6w5
69,Naruto Shippūden,Shounen,Yurika,ENTP,XwX
70,Naruto Shippūden,Shounen,Suien,ENTP,8w7
71,Naruto Shippūden,Shounen,Reto,ENTJ,XwX
72,Naruto Shippūden,Shounen,Kaori,ISFJ,XwX
